[?25l[?25h   +------------------------------------------+----------+------+------+--------+
   | filename                                 | coverage | LOC  | SLOC | missed |
   +------------------------------------------+----------+------+------+--------+
   | NX/core/index.js                         |    80.00 |  536 |   25 |      5 |
   | NX/core/aliases/NX.js                    |   100.00 |   39 |    4 |      0 |
   | NX/core/class/ClassManager/index.js      |    62.50 |  562 |   32 |     12 |
   | NX/core/lang/Array/index.js              |   100.00 |  163 |    1 |      0 |
   | NX/core/lang/Array/each.js               |   100.00 |   43 |    5 |      0 |
   | NX/core/lang/Array/forEach.js            |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/Array/indexOf.js            |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/Array/contains.js           |   100.00 |   28 |    2 |      0 |
   | NX/core/lang/Array/toArray.js            |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/Array/pluck.js              |   100.00 |   34 |    5 |      0 |
   | NX/core/lang/Array/map.js                |   100.00 |   33 |    4 |      0 |
   | NX/core/lang/Array/every.js              |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/Array/some.js               |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/Array/clean.js              |   100.00 |   40 |    2 |      0 |
   | NX/core/lang/Array/unique.js             |   100.00 |   38 |    6 |      0 |
   | NX/core/lang/Array/filter.js             |   100.00 |   28 |    3 |      0 |
   | NX/core/lang/Array/from.js               |   100.00 |   38 |    3 |      0 |
   | NX/core/lang/Array/remove.js             |   100.00 |   35 |    3 |      0 |
   | NX/core/lang/Array/include.js            |   100.00 |   30 |    2 |      0 |
   | NX/core/lang/Array/clone.js              |   100.00 |   23 |    2 |      0 |
   | NX/core/lang/Array/merge.js              |   100.00 |   41 |    7 |      0 |
   | NX/core/class/Class/index.js             |    91.30 |  197 |   23 |      2 |
   | NX/core/lang/String/index.js             |   100.00 |  169 |    2 |      0 |
   | NX/core/lang/String/escapeRe.js          |   100.00 |   21 |    1 |      0 |
   | NX/core/lang/String/escapeRegexRe.js     |   100.00 |   21 |    1 |      0 |
   | NX/core/lang/String/trim.js              |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/String/capitalize.js        |   100.00 |   23 |    1 |      0 |
   | NX/core/lang/String/escape.js            |   100.00 |   28 |    3 |      0 |
   | NX/core/lang/String/escapeRegex.js       |   100.00 |   28 |    2 |      0 |
   | NX/core/lang/String/format.js            |   100.00 |  149 |    8 |      0 |
   | NX/core/class/Base/index.js              |    22.41 |  330 |   58 |     45 |
   | NX/core/lang/Object/index.js             |   100.00 |   93 |    3 |      0 |
   | NX/core/lang/Object/toQueryString.js     |   100.00 |   34 |    3 |      0 |
   | NX/core/lang/Object/each.js              |   100.00 |   33 |    2 |      0 |
   | NX/core/lang/Object/merge.js             |   100.00 |   53 |    2 |      0 |
   | NX/core/lang/Object/keyOf.js             |   100.00 |   28 |    3 |      0 |
   | NX/core/lang/Object/getValues.js         |   100.00 |   32 |    4 |      0 |
   | NX/core/lang/Object/getKeys.js           |   100.00 |   37 |    5 |      0 |
   | NX/core/lang/Object/getSize.js           |   100.00 |   37 |    5 |      0 |
   | NX/core/lang/Function/index.js           |     4.76 |  188 |   42 |     40 |
   | NX/core/lang/Function/flexSetter.js      |    50.00 |   44 |    2 |      1 |
   | NX/core/class/Class/constructor.js       |   100.00 |  115 |    4 |      0 |
   | NX/core/class/Class/preprocessors/extend.js |    75.00 |   69 |    4 |      1 |
   | NX/core/class/Class/preprocessors/mixins.js |    50.00 |   34 |    2 |      1 |
   | NX/core/class/Class/preprocessors/config.js |    80.00 |   87 |    5 |      1 |
   | NX/core/class/Class/preprocessors/statics.js |   100.00 |   43 |    2 |      0 |
   | NX/core/class/ClassManager/maps.js       |   100.00 |   25 |    1 |      0 |
   | NX/core/class/ClassManager/namespaceRewrites.js |   100.00 |   29 |    2 |      0 |
   | NX/core/class/ClassManager/parseNamespace.js |    60.00 |   60 |    5 |      2 |
   | NX/core/class/ClassManager/getByAlias.js |   100.00 |   23 |    2 |      0 |
